EKIPS CHARGER;;;;
Mouser No;Mfr. No;Manufacturer;Description ;Order Qty.
667-ERJ-2RHD1401X;ERJ-2RHD1401X;Panasonic;Thick Film Resistors - SMD 0402 Resistor 0.5% 50ppm 1.4KOhm;1
603-RC0603FR-071KL;RC0603FR-071KL;YAGEO;Thick Film Resistors - SMD 1 kOhms 100mW 0603 1%;1
603-RC0603FR-07240RL;RC0603FR-07240RL;YAGEO;Thick Film Resistors - SMD 240 Ohms 100mW 0603 1%;1
80-C0805C474K5R;C0805C474K5RACTU;KEMET;Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 0.47uF X7R 0805 10%;1
80-C1210C475K4P;C1210C475K4PACTU;KEMET;Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 4.7uF X5R 1210 10%;1
80-C0805C105K4R;C0805C105K4RACTU;KEMET;Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 1uF X7R 0805 10%;1
576-1206L075THYR;1206L075THYR;Littelfuse;Resettable Fuses - PPTC PTC 8V 1206 0.75A POLYFUSE SMD THIN;1
579-MCP73831T-2ACIOT;MCP73831T-2ACI/OT;Microchip;Battery Management Charge mgnt contr;1
