"Netz-Code";"Netzname";"Pad-Anzahl";"Via-Anzahl";"Via-Länge (mm)";"Leiterbahnlänge (mm)";"Die-Länge (mm)";"Netzlänge (mm)";"F.Cu (mm)";"B.Cu (mm)";
002;"+16V";2;1;1,5450;11,4644;0,0000;13,0094;11,4644;0,0000;
003;"-16V";3;2;3,0900;22,3991;0,0000;25,4891;22,3991;0,0000;
004;"+7.5V";3;1;1,5450;50,1305;0,0000;51,6755;50,1305;0,0000;
005;"Net-(U3-VO)";3;0;0,0000;12,5649;0,0000;12,5649;12,5649;0,0000;
006;"Net-(U3-ADJ)";3;0;0,0000;10,0068;0,0000;10,0068;10,0068;0,0000;
007;"Net-(U1-PROG)";2;0;0,0000;30,4037;0,0000;30,4037;30,4037;0,0000;
009;"+1V0";1;1;1,5450;5,0164;0,0000;6,5614;5,0164;0,0000;
010;"GND";3;1;1,5450;30,9262;0,0000;32,4712;30,9262;0,0000;
011;"Net-(C1-Pad2)";4;0;0,0000;31,8357;0,0000;31,8357;31,8357;0,0000;
